owner,timestamp,contest_id,ticket_id,task_id,task_name,task_answer
PBL_testing3,2022-04-30T00:53:25+08:00,PBL_testing3/高阶能力测试B,95060200551,1,热身题【本题不计入总分】,"{""frame"":null}"
PBL_testing3,2022-04-30T00:53:32+08:00,PBL_testing3/高阶能力测试B,95060200551,1,热身题【本题不计入总分】,"{""frame"":{""data"":{""page"":1,""answer"":{""question1"":1,""question2"":{""max"":"""",""min"":""""},""question3"":"""",""question4"":""""}},""isAnswered"":false}}"
PBL_testing3,2022-04-30T00:53:34+08:00,PBL_testing3/高阶能力测试B,95060200551,1,热身题【本题不计入总分】,"{""frame"":{""data"":{""page"":1,""answer"":{""question1"":4,""question2"":{""max"":"""",""min"":""""},""question3"":"""",""question4"":""""}},""isAnswered"":false}}"
PBL_testing3,2022-04-30T00:53:42+08:00,PBL_testing3/高阶能力测试B,95060200551,1,热身题【本题不计入总分】,"{""frame"":{""data"":{""page"":2,""answer"":{""question1"":4,""question2"":{""max"":""算式2：1×2="",""min"":""""},""question3"":"""",""question4"":""""}},""isAnswered"":false}}"
PBL_testing3,2022-04-30T00:53:44+08:00,PBL_testing3/高阶能力测试B,95060200551,1,热身题【本题不计入总分】,"{""frame"":{""data"":{""page"":2,""answer"":{""question1"":4,""question2"":{""max"":""算式2：1×2="",""min"":""算式1：1+2=""},""question3"":"""",""question4"":""""}},""isAnswered"":false}}"
PBL_testing3,2022-04-30T00:53:46+08:00,PBL_testing3/高阶能力测试B,95060201001,1,热身题【本题不计入总分】,"{""frame"":null}"
PBL_testing3,2022-04-30T00:53:48+08:00,PBL_testing3/高阶能力测试B,95060200551,1,热身题【本题不计入总分】,"{""frame"":{""data"":{""page"":3,""answer"":{""question1"":4,""question2"":{""max"":""算式2：1×2="",""min"":""算式1：1+2=""},""question3"":""8"",""question4"":""""}},""isAnswered"":false}}"
PBL_testing3,2022-04-30T00:53:50+08:00,PBL_testing3/高阶能力测试B,95060200551,1,热身题【本题不计入总分】,"{""frame"":{""data"":{""page"":3,""answer"":{""question1"":4,""question2"":{""max"":""算式2：1×2="",""min"":""算式1：1+2=""},""question3"":""82"",""question4"":""""}},""isAnswered"":false}}"
PBL_testing3,2022-04-30T00:53:54+08:00,PBL_testing3/高阶能力测试B,95060201001,1,热身题【本题不计入总分】,"{""frame"":{""data"":{""page"":1,""answer"":{""question1"":1,""question2"":{""max"":"""",""min"":""""},""question3"":"""",""question4"":""""}},""isAnswered"":false}}"
PBL_testing3,2022-04-30T00:53:55+08:00,PBL_testing3/高阶能力测试B,95060201001,1,热身题【本题不计入总分】,"{""frame"":{""data"":{""page"":1,""answer"":{""question1"":2,""question2"":{""max"":"""",""min"":""""},""question3"":"""",""question4"":""""}},""isAnswered"":false}}"
PBL_testing3,2022-04-30T00:53:59+08:00,PBL_testing3/高阶能力测试B,95060201001,1,热身题【本题不计入总分】,"{""frame"":{""data"":{""page"":1,""answer"":{""question1"":3,""question2"":{""max"":"""",""min"":""""},""question3"":"""",""question4"":""""}},""isAnswered"":false}}"
